Ticker,Start Date,End Date,Days Missing
ABNG,2025-12-29,2026-01-02,5
ABNY,2025-12-04,2025-12-04,1
ABOT,2025-10-16,2025-10-16,1
ABOT,2025-10-20,2025-10-23,4
ABOT,2025-10-27,2025-10-30,4
ABOT,2025-11-03,2025-11-14,12
ABOT,2025-11-19,2025-12-04,16
ABOT,2025-12-09,2025-12-19,11
ABOT,2025-12-30,2025-12-30,1
ABPWW,2025-10-16,2025-10-17,2
ABPWW,2025-10-24,2025-10-24,1
ABPWW,2025-10-28,2026-01-08,73
ABVEW,2025-10-30,2026-01-08,71
ABXB,2025-10-16,2025-10-16,1
ABXB,2025-10-21,2025-10-22,2
ABXB,2025-10-27,2025-10-30,4
ABXB,2025-11-04,2025-11-06,3
ABXB,2025-11-12,2025-11-17,6
ABXB,2025-11-25,2025-11-25,1
ABXB,2025-12-05,2025-12-24,20
ABXB,2025-12-31,2026-01-02,3
ABXB,2026-01-06,2026-01-06,1
ACCS,2025-10-30,2025-10-30,1
ACEP,2025-12-05,2025-12-05,1
ACEP,2025-12-10,2025-12-11,2
ACEP,2025-12-22,2025-12-29,8
ACGR,2025-10-22,2025-10-22,1
ACGR,2025-10-29,2025-10-29,1
ACGR,2025-11-10,2025-11-14,5
ACGR,2025-11-19,2025-11-19,1
ACGR,2025-11-25,2025-12-12,18
ACGR,2025-12-17,2025-12-17,1
ACGR,2025-12-22,2025-12-23,2
ACGR,2025-12-29,2025-12-29,1
ACLO,2025-10-16,2025-10-16,1
ACLO,2025-10-20,2025-10-22,3
ACLO,2025-10-30,2025-10-30,1
ACLO,2025-11-18,2025-11-18,1
ACLO,2025-11-25,2025-11-28,4
ACLO,2025-12-02,2025-12-02,1
ACLO,2025-12-11,2025-12-11,1
ACLO,2025-12-15,2025-12-15,1
ACLO,2025-12-31,2025-12-31,1
ACONW,2025-10-30,2026-01-08,71
ACSI,2025-10-21,2025-10-24,4
ACSI,2025-10-28,2025-12-05,39
ACSI,2025-12-17,2025-12-26,10
ACSI,2025-12-30,2025-12-31,2
ACVT,2025-10-17,2025-11-28,43
ACVT,2025-12-03,2025-12-12,10
ACVT,2025-12-16,2025-12-24,9
ACVT,2025-12-29,2026-01-02,5
ACVT,2026-01-07,2026-01-07,1
ADSEW,2025-10-21,2025-10-24,4
ADSEW,2025-10-30,2026-01-08,71
ADVE,2025-10-17,2025-10-17,1
ADVE,2025-11-03,2025-11-03,1
ADVE,2025-11-18,2025-11-21,4
ADVE,2025-11-28,2025-11-28,1
ADVE,2025-12-17,2025-12-17,1
ADVE,2025-12-24,2025-12-24,1
ADXN,2025-11-11,2025-11-12,2
ADXN,2025-11-19,2025-11-19,1
ADXN,2025-11-25,2025-11-25,1
ADXN,2025-12-10,2025-12-12,3
ADXN,2026-01-02,2026-01-02,1
ADXN,2026-01-06,2026-01-06,1
AEAQU,2025-12-19,2025-12-19,1
AEAQU,2025-12-26,2025-12-26,1
AENTW,2025-10-17,2025-10-17,1
AENTW,2025-10-21,2025-10-23,3
AERTW,2025-10-17,2025-10-23,7
AETH,2025-10-23,2025-10-23,1
AETH,2025-11-28,2025-11-28,1
AEVAW,2025-10-30,2026-01-08,71
AFBI,2025-10-24,2025-10-27,4
AFBI,2025-11-14,2025-11-14,1
AFBI,2025-12-05,2025-12-05,1
AFBI,2025-12-12,2025-12-12,1
AFBI,2025-12-17,2025-12-17,1
AFBI,2025-12-30,2025-12-31,2
AFIX,2025-10-20,2025-10-31,12
AFIX,2025-11-04,2025-11-06,3
AFIX,2025-11-10,2025-11-26,17
AFIX,2025-12-02,2025-12-03,2
AFIX,2025-12-08,2025-12-08,1
AFIX,2025-12-12,2025-12-12,1
AFIX,2025-12-17,2025-12-18,2
AFIX,2025-12-22,2026-01-02,12
AFIX,2026-01-08,2026-01-08,1
AFJK,2025-10-16,2025-10-24,9
AFJK,2025-10-28,2025-10-30,3
AFJK,2025-12-08,2025-12-08,1
AFJKR,2025-10-16,2025-10-16,1
AFJKR,2025-10-20,2025-10-22,3
AFJKR,2025-10-28,2025-10-28,1
AFJKR,2025-11-04,2025-11-04,1
AFJKR,2025-11-14,2025-11-14,1
AFJKR,2025-11-21,2025-11-28,8
AFJKR,2025-12-03,2025-12-08,6
AFJKU,2025-10-28,2025-11-03,7
AFJKU,2025-11-10,2025-11-13,4
AFJKU,2025-11-17,2025-12-05,19
AFJKU,2025-12-11,2026-01-07,28
AFOS,2025-10-23,2025-10-24,2
AFOS,2025-11-18,2025-11-18,1
AFSC,2025-10-17,2025-10-17,1
AFSC,2025-10-24,2025-10-27,4
AFSC,2025-11-06,2025-11-06,1
AFSC,2025-11-11,2025-11-13,3
AFSC,2025-11-17,2025-11-25,9
AFSC,2025-12-02,2025-12-04,3
AFSC,2025-12-08,2025-12-11,4
AFSC,2025-12-15,2025-12-17,3
AFSC,2025-12-29,2025-12-29,1
AFSC,2026-01-02,2026-01-05,4
AGGS,2025-10-17,2025-10-17,1
AGGS,2025-10-21,2025-10-23,3
AGGS,2025-10-30,2025-10-30,1
AGGS,2025-11-03,2025-11-03,1
AGGS,2025-11-24,2025-12-05,12
AGGS,2025-12-10,2025-12-11,2
AGGS,2025-12-19,2025-12-19,1
AGGS,2025-12-24,2025-12-31,8
AGGS,2026-01-05,2026-01-06,2
AGM-A,2025-10-21,2025-10-23,3
AGM-A,2025-10-28,2025-10-28,1
AGM-A,2025-11-05,2025-11-07,3
AGM-A,2025-11-14,2025-12-09,26
AGM-A,2025-12-15,2025-12-17,3
AGM-A,2025-12-22,2025-12-31,10
AGM-A,2026-01-06,2026-01-06,1
AGMI,2025-10-30,2025-10-30,1
AGMI,2025-11-25,2025-11-25,1
AGQI,2025-10-22,2025-10-22,1
AGRH,2025-10-16,2025-10-17,2
AGRH,2025-10-21,2025-10-24,4
AGRH,2025-10-28,2025-10-31,4
AGRH,2025-11-05,2025-11-06,2
AGRH,2025-11-10,2025-11-19,10
AGRH,2025-12-03,2025-12-19,17
AGRH,2025-12-23,2026-01-02,11
AGRH,2026-01-07,2026-01-08,2
AGRW,2025-10-21,2025-10-22,2
AGRW,2025-10-31,2025-10-31,1
AGRW,2025-11-10,2025-11-10,1
AGRW,2025-11-17,2025-11-21,5
AGRW,2025-11-28,2025-12-01,4
AGRW,2025-12-08,2025-12-12,5
AGRW,2025-12-17,2025-12-30,14
AGRW,2026-01-07,2026-01-08,2
AHG,2025-11-12,2025-11-12,1
AHG,2025-11-20,2025-11-20,1
AHG,2025-12-02,2025-12-02,1
AHYB,2025-10-23,2025-10-23,1
AIFU,2025-12-02,2025-12-02,1
AIIA,2025-12-16,2025-12-16,1
AIIOW,2025-12-15,2025-12-15,1
AIIOW,2025-12-24,2025-12-24,1
AIMDW,2025-10-20,2025-10-20,1
AIMDW,2025-10-30,2026-01-08,71
AINP,2025-10-16,2025-10-16,1
AINP,2025-10-23,2025-10-23,1
AINP,2025-12-02,2025-12-02,1
AINP,2025-12-31,2025-12-31,1
AIRJW,2025-10-30,2026-01-08,71
AIRT,2025-10-16,2025-10-22,7
AIRT,2025-11-07,2025-11-07,1
AIRT,2025-11-12,2025-11-26,15
AIRT,2025-12-08,2025-12-18,11
AIRT,2025-12-23,2025-12-26,4
AIRT,2025-12-30,2026-01-02,4
AIRT,2026-01-06,2026-01-07,2
AIRTP,2025-10-22,2025-10-22,1
AIRTP,2025-10-30,2025-10-30,1
AIRTP,2025-11-13,2025-11-13,1
AIRTP,2025-11-19,2025-11-19,1
AIRTP,2025-12-03,2025-12-03,1
AIRTP,2025-12-11,2025-12-11,1
AIRTP,2025-12-15,2025-12-18,4
AIRTP,2025-12-24,2025-12-26,3
AIRTP,2025-12-30,2026-01-02,4
AIRTP,2026-01-06,2026-01-07,2
AISPW,2025-10-30,2026-01-08,71
AIVC,2025-10-20,2025-10-23,4
AIVC,2025-12-04,2025-12-04,1
AIVI,2025-12-01,2025-12-01,1
AIVI,2025-12-05,2025-12-05,1
AJAN,2025-11-06,2025-11-06,1
AJUL,2025-10-16,2025-10-16,1
AJUL,2025-11-14,2025-11-14,1
AJUL,2025-11-21,2025-11-21,1
AJUL,2025-12-05,2025-12-05,1
AKAF,2025-10-17,2025-10-30,14
AKAF,2025-11-03,2025-11-28,26
AKAF,2025-12-02,2026-01-08,38
AKO-A,2025-11-05,2025-11-07,3
AKO-A,2025-11-13,2025-11-13,1
AKO-A,2025-11-20,2025-11-20,1
AKO-A,2025-11-28,2025-11-28,1
AKO-A,2025-12-08,2025-12-08,1
AKO-A,2025-12-12,2025-12-24,13
AKO-A,2026-01-07,2026-01-07,1
ALCY,2025-10-21,2025-10-21,1
ALCY,2025-10-27,2025-10-29,3
ALCY,2025-11-03,2025-11-06,4
ALCY,2025-11-10,2025-11-28,19
ALCY,2025-12-02,2025-12-04,3
ALCY,2025-12-08,2025-12-08,1
ALCY,2025-12-15,2025-12-22,8
ALCYU,2025-10-22,2025-12-22,62
ALCYU,2025-12-26,2026-01-02,8
ALCYW,2025-10-17,2025-10-17,1
ALCYW,2025-10-21,2025-10-22,2
ALCYW,2025-10-27,2026-01-08,74
ALDF,2025-10-20,2025-10-22,3
ALDF,2025-10-27,2025-10-31,5
ALDF,2025-11-12,2025-11-12,1
ALDF,2025-11-18,2025-11-21,4
ALDF,2025-11-25,2025-11-28,4
ALDF,2025-12-08,2025-12-08,1
ALDF,2025-12-26,2025-12-26,1
ALDF,2026-01-05,2026-01-07,3
ALDFU,2025-10-16,2025-10-16,1
ALDFU,2025-10-20,2025-10-23,4
ALDFU,2025-10-28,2025-12-04,38
ALDFU,2025-12-08,2025-12-22,15
ALDFW,2025-10-16,2025-10-16,1
ALDFW,2025-10-21,2025-10-21,1
ALDFW,2025-10-29,2026-01-08,72
ALF,2025-10-24,2025-10-24,1
ALF,2025-11-05,2025-11-07,3
ALF,2025-11-12,2025-11-14,3
ALF,2025-11-18,2025-11-21,4
ALF,2025-11-28,2025-11-28,1
ALF,2025-12-02,2025-12-02,1
ALF,2025-12-24,2025-12-26,3
ALF,2026-01-05,2026-01-07,3
ALFUU,2025-10-16,2025-12-08,54
ALFUW,2025-10-24,2026-01-08,77
ALIL,2025-10-20,2025-10-20,1
ALIL,2025-10-27,2025-10-27,1
ALIL,2025-11-04,2025-11-04,1
ALIL,2025-11-14,2025-11-14,1
ALIL,2025-11-19,2025-11-21,3
ALIL,2025-11-25,2025-11-25,1
ALIL,2025-12-01,2025-12-01,1
ALIL,2025-12-18,2025-12-18,1
ALIL,2025-12-22,2025-12-22,1
ALIL,2026-01-06,2026-01-06,1
ALIS,2025-12-02,2025-12-02,1
ALIS,2025-12-12,2025-12-12,1
ALIS,2025-12-18,2025-12-18,1
ALIS,2025-12-22,2025-12-24,3
ALIS,2026-01-07,2026-01-07,1
ALOT,2025-10-24,2025-10-24,1
ALRG,2025-10-22,2025-10-24,3
ALRG,2025-10-28,2025-11-13,17
ALRG,2025-11-17,2025-12-11,25
ALRG,2025-12-15,2026-01-08,25
ALVOW,2025-10-30,2026-01-08,71
AMID,2025-11-05,2025-11-05,1
AMODW,2025-10-22,2025-10-22,1
AMODW,2025-10-28,2026-01-08,73
AMPGW,2025-10-30,2026-01-08,71
AMUB,2025-10-16,2025-10-24,9
AMUB,2025-10-30,2025-10-30,1
AMUB,2025-11-03,2025-11-03,1
AMUB,2025-11-21,2025-11-21,1
AMUB,2025-11-26,2025-12-01,6
AMUB,2025-12-05,2025-12-05,1
AMUB,2025-12-09,2025-12-09,1
AMUB,2025-12-15,2025-12-16,2
AMUB,2025-12-23,2025-12-23,1
AMUB,2025-12-29,2026-01-02,5
AMUB,2026-01-06,2026-01-07,2
ANEW,2025-10-17,2025-10-24,8
ANEW,2025-10-28,2025-10-31,4
ANEW,2025-11-05,2025-11-07,3
ANEW,2025-11-12,2025-11-14,3
ANEW,2025-11-18,2025-12-12,25
ANEW,2025-12-17,2025-12-26,10
ANEW,2025-12-30,2026-01-05,7
ANGHW,2025-10-17,2025-10-27,11
ANL,2025-11-18,2025-11-18,1
ANNA,2025-10-17,2025-10-17,1
ANNA,2025-11-04,2025-11-04,1
ANNA,2025-11-11,2025-11-11,1
ANNA,2025-12-19,2025-12-19,1
ANNAW,2025-10-17,2025-10-17,1
ANNAW,2025-10-24,2026-01-08,77
ANPA,2025-10-16,2025-10-16,1
ANPA,2025-10-21,2025-10-21,1
ANPA,2025-10-28,2025-10-28,1
ANPA,2025-11-06,2025-11-06,1
ANPA,2025-11-19,2025-11-20,2
ANPA,2025-12-17,2025-12-17,1
ANPA,2026-01-02,2026-01-02,1
ANSC,2025-10-20,2025-10-20,1
ANSC,2025-11-21,2025-11-21,1
ANSC,2025-12-18,2025-12-18,1
ANSC,2025-12-24,2025-12-26,3
ANSC,2026-01-02,2026-01-02,1
ANSC,2026-01-06,2026-01-08,3
ANSCU,2025-10-17,2026-01-05,81
ANSCW,2025-10-16,2025-10-16,1
ANSCW,2025-10-23,2025-10-24,2
ANSCW,2025-10-28,2026-01-08,73
ANTA,2025-11-12,2025-11-12,1
ANTA,2025-12-22,2025-12-22,1
APAC,2025-12-01,2025-12-05,5
APAC,2025-12-16,2025-12-17,2
APAC,2025-12-22,2025-12-26,5
APAC,2025-12-30,2026-01-02,4
APAC,2026-01-06,2026-01-06,1
APACR,2025-12-02,2025-12-05,4
APACR,2025-12-12,2025-12-12,1
APACR,2025-12-19,2025-12-19,1
APACR,2025-12-30,2026-01-02,4
APACR,2026-01-06,2026-01-06,1
APACU,2025-11-04,2025-11-12,9
APACU,2025-11-17,2025-11-17,1
APACU,2025-11-24,2025-11-24,1
APACU,2025-11-28,2025-11-28,1
APACU,2025-12-04,2025-12-08,5
APACU,2025-12-15,2025-12-18,4
APACU,2025-12-22,2025-12-26,5
APACU,2025-12-30,2026-01-02,4
APAD,2025-11-07,2025-11-14,8
APAD,2025-11-19,2025-11-20,2
APAD,2025-11-24,2025-11-24,1
APAD,2025-12-24,2025-12-24,1
APAD,2025-12-31,2025-12-31,1
APADR,2025-10-24,2025-10-24,1
APADR,2025-11-05,2025-11-12,8
APADR,2025-11-18,2025-11-18,1
APADR,2025-12-08,2025-12-11,4
APADR,2025-12-16,2025-12-19,4
APADR,2026-01-02,2026-01-02,1
APADU,2025-10-24,2025-10-24,1
APADU,2025-10-30,2025-11-06,8
APADU,2025-11-10,2025-11-14,5
APADU,2025-11-20,2025-12-05,16
APADU,2025-12-11,2025-12-11,1
APADU,2025-12-16,2025-12-19,4
APADU,2025-12-29,2026-01-02,5
APLMW,2025-10-30,2026-01-08,71
APRH,2025-10-24,2025-10-24,1
APRH,2025-12-19,2025-12-19,1
APRH,2026-01-07,2026-01-07,1
APRJ,2025-12-31,2025-12-31,1
APRP,2025-10-24,2025-10-24,1
APRP,2025-11-07,2025-11-07,1
APRP,2025-11-24,2025-11-24,1
APRP,2025-11-28,2025-11-28,1
APRP,2025-12-02,2025-12-02,1
APRP,2025-12-11,2025-12-11,1
APRP,2025-12-15,2025-12-19,5
APRP,2025-12-23,2025-12-26,4
APRT,2025-10-21,2025-10-21,1
APRT,2025-11-28,2025-11-28,1
APRT,2025-12-03,2025-12-03,1
APRT,2025-12-24,2025-12-24,1
APRT,2026-01-02,2026-01-02,1
APRW,2025-12-24,2025-12-24,1
APRZ,2025-10-22,2025-10-31,10
APRZ,2025-11-05,2025-11-21,17
APRZ,2025-11-28,2025-11-28,1
APRZ,2025-12-03,2025-12-03,1
APRZ,2025-12-09,2025-12-24,16
APRZ,2026-01-06,2026-01-06,1
APWC,2025-11-25,2025-11-25,1
APWC,2026-01-08,2026-01-08,1
APXM,2025-10-23,2025-11-14,23
APXM,2025-11-18,2025-12-03,16
APXM,2025-12-08,2025-12-18,11
APXM,2025-12-22,2026-01-02,12
APXM,2026-01-06,2026-01-08,3
APXT,2025-12-11,2025-12-11,1
APXT,2025-12-23,2025-12-26,4
APXT,2025-12-31,2025-12-31,1
APXTW,2025-11-24,2025-11-28,5
APXTW,2025-12-10,2025-12-12,3
APXTW,2025-12-24,2025-12-24,1
APXTW,2026-01-02,2026-01-02,1
AQEC,2025-11-19,2025-11-28,10
AQEC,2025-12-03,2025-12-05,3
AQEC,2025-12-23,2025-12-24,2
AQEC,2026-01-07,2026-01-07,1
ARBEW,2025-10-30,2026-01-08,71
ARCM,2025-10-16,2025-10-23,8
ARCM,2025-11-04,2025-11-07,4
ARCM,2025-11-11,2025-11-13,3
ARCM,2025-11-25,2025-11-25,1
ARCM,2025-12-02,2025-12-05,4
ARCM,2025-12-09,2025-12-11,3
ARCM,2025-12-16,2025-12-18,3
ARCM,2025-12-24,2025-12-24,1
AREA,2025-11-04,2025-12-10,37
AREA,2025-12-15,2025-12-19,5
AREA,2025-12-23,2025-12-24,2
AREA,2025-12-29,2026-01-05,8
AREBW,2025-10-30,2026-01-07,70
ARKR,2025-10-17,2025-10-17,1
ARKR,2025-10-28,2025-10-31,4
ARKR,2025-11-05,2025-11-06,2
ARKR,2025-11-12,2025-11-12,1
ARKR,2025-11-25,2025-11-25,1
ARKR,2025-12-05,2025-12-05,1
ARKR,2025-12-10,2025-12-10,1
ARKT,2025-12-01,2025-12-04,4
ARKT,2025-12-11,2025-12-11,1
ARKT,2025-12-26,2025-12-26,1
ARKT,2025-12-31,2026-01-02,3
ARL,2025-10-23,2025-10-23,1
ARL,2025-10-29,2025-10-31,3
ARL,2025-11-06,2025-11-07,2
ARL,2025-11-19,2025-11-19,1
ARL,2025-11-24,2025-11-28,5
ARL,2025-12-02,2025-12-12,11
ARL,2025-12-24,2025-12-26,3
ARL,2026-01-07,2026-01-07,1
ARLU,2025-10-17,2025-10-20,4
ARMH,2025-11-13,2025-11-13,1
ARMH,2025-11-17,2025-11-17,1
ARMH,2025-12-19,2025-12-19,1
ARP,2025-10-15,2025-10-15,1
ARP,2025-12-10,2025-12-10,1
ARQQW,2025-10-30,2026-01-08,71
ARVR,2025-10-16,2025-10-17,2
ARVR,2025-10-27,2025-10-30,4
ARVR,2025-11-05,2025-11-14,10
ARVR,2025-11-19,2025-12-04,16
ARVR,2025-12-10,2025-12-22,13
ARVR,2025-12-30,2026-01-02,4
ARVR,2026-01-06,2026-01-06,1
ASBPW,2025-10-30,2026-01-08,71
ASGM,2025-10-16,2025-10-16,1
ASGM,2025-10-20,2025-10-30,11
ASGM,2025-11-03,2025-11-06,4
ASGM,2025-11-10,2025-11-20,11
ASGM,2025-11-24,2025-11-26,3
ASGM,2025-12-03,2025-12-04,2
ASGM,2025-12-11,2025-12-11,1
ASGM,2025-12-15,2025-12-18,4
ASGM,2025-12-22,2025-12-22,1
ASGM,2025-12-30,2025-12-31,2
ASGM,2026-01-06,2026-01-06,1
ASIA,2025-11-11,2025-11-11,1
ASIA,2025-12-04,2025-12-04,1
ASLV,2025-10-22,2025-10-27,6
ASLV,2025-11-03,2025-11-07,5
ASLV,2025-11-11,2025-11-11,1
ASLV,2025-11-24,2025-11-24,1
ASLV,2025-11-28,2025-11-28,1
ASLV,2025-12-02,2025-12-02,1
ASLV,2025-12-10,2025-12-10,1
ASLV,2025-12-24,2025-12-24,1
ASLV,2025-12-31,2025-12-31,1
ASMF,2025-12-15,2025-12-15,1
ASMH,2025-10-31,2025-10-31,1
ASMH,2025-11-07,2025-11-10,4
ASMH,2025-12-10,2025-12-11,2
ASPC,2025-10-21,2025-10-27,7
ASPC,2025-11-21,2025-11-21,1
ASPC,2025-11-25,2025-11-28,4
ASPC,2025-12-02,2025-12-05,4
ASPCR,2025-10-17,2025-10-20,4
ASPCR,2025-10-28,2025-10-29,2
ASPCR,2025-11-03,2025-11-05,3
ASPCR,2025-11-10,2025-11-21,12
ASPCR,2025-11-25,2025-12-01,7
ASPCR,2025-12-05,2025-12-08,4
ASPCR,2025-12-12,2025-12-12,1
ASPCR,2025-12-16,2025-12-17,2
ASPCR,2025-12-24,2025-12-24,1
ASPCR,2026-01-02,2026-01-05,4
ASPCU,2025-10-17,2025-10-21,5
ASPCU,2025-10-27,2025-10-28,2
ASPCU,2025-11-04,2025-11-05,2
ASPCU,2025-11-20,2025-12-04,15
ASPCU,2025-12-08,2025-12-08,1
ASPCU,2025-12-17,2025-12-17,1
ASPCU,2025-12-22,2025-12-22,1
ASPCU,2025-12-30,2026-01-07,9
ASPSW,2025-12-15,2025-12-19,5
ASPSZ,2025-12-18,2025-12-19,2
ASPSZ,2026-01-07,2026-01-07,1
ASTLW,2025-10-30,2026-01-08,71
ATGL,2025-11-06,2025-11-12,7
ATGL,2025-11-28,2025-11-28,1
ATGL,2025-12-31,2025-12-31,1
ATGL,2026-01-07,2026-01-08,2
ATHR,2025-11-26,2025-11-26,1
ATII,2025-10-22,2025-10-22,1
ATII,2025-11-11,2025-11-12,2
ATII,2025-11-17,2025-11-18,2
ATII,2025-12-04,2025-12-04,1
ATII,2025-12-31,2025-12-31,1
ATIIU,2025-10-27,2025-12-08,43
ATIIW,2025-10-23,2025-10-23,1
ATIIW,2025-10-30,2026-01-08,71
ATMC,2025-10-30,2025-11-21,23
ATMCR,2025-10-23,2025-10-23,1
ATMCR,2025-10-28,2025-11-06,10
ATMCR,2025-11-10,2025-11-28,19
ATMCU,2025-10-20,2025-11-03,15
ATMCU,2025-11-07,2025-11-25,19
ATMCU,2025-12-01,2025-12-01,1
ATMCW,2025-10-27,2025-10-27,1
ATPC,2025-12-03,2025-12-03,1
AUBN,2025-10-20,2025-10-23,4
AUBN,2025-10-27,2025-11-07,12
AUBN,2025-11-11,2025-11-13,3
AUBN,2025-11-24,2025-11-28,5
AUBN,2025-12-12,2025-12-12,1
AUBN,2026-01-05,2026-01-05,1
AUGM,2025-11-03,2025-11-07,5
AUGM,2025-11-12,2025-11-12,1
AUGM,2025-11-19,2025-11-19,1
AUGM,2025-12-09,2025-12-11,3
AUGM,2026-01-07,2026-01-07,1
AUGP,2025-10-30,2025-10-30,1
AUGP,2025-11-17,2025-11-17,1
AUGP,2025-11-21,2025-11-21,1
AUGP,2025-11-28,2025-11-28,1
AUGP,2025-12-02,2025-12-02,1
AUGP,2025-12-11,2025-12-11,1
AUGP,2025-12-17,2025-12-19,3
AUGP,2025-12-23,2025-12-26,4
AUGP,2026-01-02,2026-01-02,1
AUGP,2026-01-06,2026-01-06,1
AUGT,2025-10-20,2025-10-24,5
AUGT,2025-10-30,2025-10-30,1
AUGT,2025-11-13,2025-11-13,1
AUGT,2025-11-17,2025-11-19,3
AUGT,2025-11-28,2025-11-28,1
AUGT,2025-12-05,2025-12-05,1
AUGT,2025-12-22,2025-12-24,3
AUGU,2025-10-17,2025-10-23,7
AUGU,2025-10-28,2025-10-30,3
AUGU,2025-11-07,2025-11-07,1
AUGU,2025-11-14,2025-11-14,1
AUGU,2025-11-21,2025-11-21,1
AUGU,2025-11-28,2025-11-28,1
AUGU,2025-12-02,2025-12-02,1
AUGU,2025-12-09,2025-12-11,3
AUGU,2025-12-30,2025-12-30,1
AUGW,2025-11-17,2025-11-17,1
AUGW,2025-11-28,2025-11-28,1
AUGW,2025-12-22,2025-12-22,1
AUGZ,2025-10-20,2025-10-23,4
AUGZ,2025-10-27,2025-10-31,5
AUGZ,2025-11-06,2025-11-07,2
AUGZ,2025-11-12,2025-11-13,2
AUGZ,2025-11-17,2025-11-20,4
AUGZ,2025-11-28,2025-11-28,1
AUGZ,2025-12-02,2025-12-02,1
AUGZ,2025-12-09,2025-12-09,1
AUGZ,2025-12-19,2025-12-24,6
AUGZ,2025-12-29,2025-12-31,3
AUGZ,2026-01-06,2026-01-06,1
AUROW,2025-10-30,2026-01-08,71
AURU,2025-10-23,2025-10-23,1
AURU,2025-12-24,2025-12-24,1
AUSM,2025-10-24,2025-10-24,1
AUSM,2025-10-28,2025-10-31,4
AUSM,2025-11-04,2025-11-07,4
AUSM,2025-11-11,2025-11-12,2
AUSM,2025-11-17,2025-11-26,10
AUSM,2025-12-01,2025-12-02,2
AUSM,2025-12-09,2025-12-11,3
AUSM,2025-12-15,2025-12-15,1
AUSM,2025-12-19,2025-12-19,1
AUSM,2025-12-26,2026-01-02,8
AVGB,2025-10-22,2025-10-24,3
AVGB,2025-10-29,2025-10-30,2
AVGB,2025-11-03,2025-11-03,1
AVGB,2025-11-07,2025-11-07,1
