Ticker,Entry,Exit,Days,Shares,P&L,R-Multiple,Return %,Exit Phases,Outcome
ABT,2011-01-06,2011-01-10,4,212,$-3.18,-0.03R,-0.03%,"STOP_BE,TP1",SMALL_LOSS
ABT,2011-04-15,2011-04-18,3,165,$-112.44,-1.00R,-1.31%,STOP,BIG_LOSS
ABT,2011-10-06,2011-11-01,26,30,$63.70,+1.74R,+4.15%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ABT,2011-11-30,2011-12-30,30,35,$45.53,+1.24R,+2.38%,"TP1,TP2",WIN
ACAD,2006-01-31,2006-03-20,48,21,$52.66,+2.43R,+19.21%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ACAD,2007-06-07,2007-07-18,41,67,$55.16,+1.48R,+6.21%,"STOP_BE,TP1",WIN
ACGL,2007-12-05,2007-12-11,6,193,$-48.25,-1.29R,-3.14%,STOP,BIG_LOSS
ACGL,2008-01-08,2008-01-17,9,211,$-88.62,-2.37R,-5.31%,STOP,BIG_LOSS
ACGL,2008-06-06,2008-06-11,5,324,$-45.36,-1.21R,-1.78%,STOP,BIG_LOSS
ACGL,2008-09-17,2008-09-26,9,158,$32.59,+0.87R,+2.56%,"STOP_BE,TP1",SMALL_WIN
ACGL,2009-12-18,2010-01-14,27,320,$-37.49,-1.00R,-1.49%,STOP,BIG_LOSS
ACGL,2010-01-22,2010-02-02,11,340,$-51.00,-1.36R,-1.88%,STOP,BIG_LOSS
ACGL,2010-03-31,2010-04-05,5,1175,$-176.25,-1.57R,-1.77%,STOP,BIG_LOSS
ACGL,2011-03-15,2011-05-05,51,207,$137.64,+3.68R,+6.60%,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BIG_WIN
ACGL,2011-07-27,2011-07-29,2,181,$-37.36,-1.00R,-1.81%,STOP,BIG_LOSS
ACGL,2011-11-01,2011-11-23,22,117,$25.94,+0.70R,+1.91%,"STOP_BE,TP1",SMALL_WIN
ACIW,2007-01-05,2007-01-09,4,356,$17.80,+0.12R,+0.44%,"STOP_BE,TP1",SMALL_WIN
ACIW,2007-08-08,2007-08-09,1,57,$-37.21,-1.00R,-5.98%,STOP,BIG_LOSS
ACIW,2009-02-27,2009-03-03,4,141,$-9.91,-0.26R,-1.18%,"STOP_BE,TP1",SMALL_LOSS
ACIW,2011-09-16,2011-09-21,5,98,$-53.90,-1.44R,-5.46%,STOP,BIG_LOSS
ACLS,2007-01-19,2007-01-23,4,448,$-17.92,-0.12R,-0.64%,"STOP_BE,TP1",SMALL_LOSS
ACN,2006-08-31,2006-09-07,7,154,$-158.62,-1.06R,-3.47%,"STOP_BE,TP1",BIG_LOSS
ACN,2006-10-03,2006-11-27,55,121,$284.77,+1.91R,+7.61%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ACN,2007-03-28,2007-06-07,71,57,$133.70,+1.78R,+6.24%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ACN,2007-10-10,2007-10-16,6,93,$-141.36,-1.26R,-3.64%,STOP,BIG_LOSS
ACN,2007-12-18,2008-01-03,16,33,$-7.36,-0.20R,-0.63%,"STOP_BE,TP1",SMALL_LOSS
ACN,2008-04-02,2008-04-30,28,27,$64.43,+1.76R,+6.67%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
ACN,2008-05-29,2008-06-04,6,123,$93.46,+0.83R,+1.90%,"STOP_BE,TP1",SMALL_WIN
ACN,2008-06-27,2008-07-01,4,32,$-37.44,-1.00R,-2.83%,STOP,BIG_LOSS
ACN,2008-07-01,2008-07-11,10,30,$-39.00,-1.07R,-3.22%,STOP,BIG_LOSS
ACN,2008-07-29,2008-08-13,15,33,$-36.82,-1.00R,-2.70%,STOP,BIG_LOSS
ACN,2008-09-19,2008-09-24,5,18,$-39.42,-1.08R,-5.65%,STOP,BIG_LOSS
ACN,2008-09-30,2008-10-03,3,16,$-44.96,-1.20R,-7.39%,STOP,BIG_LOSS
ACN,2009-10-02,2009-10-26,24,39,$26.03,+0.70R,+1.78%,"STOP_BE,TP1",SMALL_WIN
ACN,2010-05-10,2010-05-21,11,11,$-36.12,-1.00R,-8.00%,STOP,BIG_LOSS
ACN,2011-01-20,2011-01-31,11,147,$91.75,+0.82R,+1.22%,"STOP_BE,TP1",SMALL_WIN
ACN,2011-03-25,2011-04-18,24,21,$21.95,+0.81R,+1.92%,"STOP_BE,TP1",SMALL_WIN
ACN,2011-06-14,2011-06-15,1,41,$-70.11,-1.89R,-2.99%,STOP,BIG_LOSS
ACN,2011-06-24,2011-07-27,33,32,$131.95,+3.56R,+7.23%,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",BIG_WIN
ACN,2011-09-16,2011-09-19,3,22,$-37.32,-1.00R,-3.08%,STOP,BIG_LOSS
ACTG,2011-08-02,2011-08-05,3,17,$-42.16,-1.18R,-5.88%,STOP,BIG_LOSS
ADBE,2006-06-16,2006-06-20,4,40,$-6.80,-0.19R,-0.58%,"STOP_BE,TP1",SMALL_LOSS
ADBE,2007-02-16,2007-02-27,11,124,$-167.40,-1.12R,-3.35%,STOP,BIG_LOSS
ADBE,2007-06-14,2007-06-15,1,107,$-149.61,-1.00R,-3.18%,STOP,BIG_LOSS
ADBE,2007-09-17,2007-09-20,3,41,$23.88,+0.64R,+1.35%,"STOP_BE,TP1",SMALL_WIN
ADBE,2007-09-20,2007-09-21,1,39,$-37.33,-1.00R,-2.24%,STOP,BIG_LOSS
ADBE,2009-06-15,2009-06-17,2,34,$-13.43,-0.36R,-1.37%,"STOP_BE,TP1",SMALL_LOSS
ADBE,2009-06-17,2009-06-22,5,34,$-22.61,-0.61R,-2.32%,"STOP_BE,TP1",BIG_LOSS
ADBE,2009-09-10,2009-09-16,6,42,$15.02,+0.41R,+1.05%,"STOP_BE,TP1",SMALL_WIN
ADBE,2010-04-22,2010-04-27,5,152,$-112.26,-1.00R,-2.05%,STOP,BIG_LOSS
ADBE,2011-09-16,2011-09-20,4,44,$-24.86,-0.66R,-2.21%,"STOP_BE,TP1",BIG_LOSS
ADBE,2011-10-14,2011-10-18,4,40,$-12.40,-0.34R,-1.16%,"STOP_BE,TP1",SMALL_LOSS
ADI,2007-02-27,2007-03-05,6,44,$-36.99,-1.00R,-2.38%,STOP,BIG_LOSS
ADI,2007-12-11,2007-12-13,2,43,$2.10,+0.06R,+0.16%,"STOP_BE,TP1",SMALL_WIN
ADI,2008-12-09,2008-12-11,2,26,$1.56,+0.04R,+0.34%,"STOP_BE,TP1",SMALL_WIN
ADI,2009-08-19,2009-08-21,2,48,$4.08,+0.11R,+0.31%,"STOP_BE,TP1",SMALL_WIN
ADI,2009-08-21,2009-08-25,4,46,$-4.14,-0.11R,-0.32%,"STOP_BE,TP1",SMALL_LOSS
ADI,2010-04-27,2010-05-04,7,44,$-36.83,-1.00R,-2.79%,STOP,BIG_LOSS
ADM,2006-04-25,2006-06-09,45,90,$375.47,+2.52R,+11.44%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ADM,2007-01-23,2007-01-25,2,53,$-35.64,-0.48R,-2.07%,"STOP_BE,TP1",SMALL_LOSS
ADM,2009-10-30,2009-11-24,25,42,$51.21,+1.37R,+4.05%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ADM,2010-02-02,2010-02-03,1,58,$-37.20,-1.00R,-2.03%,STOP,BIG_LOSS
ADP,2006-01-27,2006-01-31,4,163,$-50.15,-0.34R,-0.77%,"STOP_BE,TP1",SMALL_LOSS
ADP,2006-05-19,2006-05-23,4,63,$-11.90,-0.32R,-0.46%,"STOP_BE,TP1",SMALL_LOSS
ADP,2006-09-15,2006-10-11,26,88,$-74.77,-1.00R,-2.00%,STOP,BIG_LOSS
ADP,2006-11-02,2006-12-01,29,158,$106.34,+0.71R,+1.56%,"STOP_BE,TP1",SMALL_WIN
ADP,2007-10-31,2007-11-01,1,128,$-200.96,-1.80R,-3.17%,STOP,BIG_LOSS
ADP,2008-11-21,2008-12-05,14,17,$17.76,+0.49R,+2.96%,"STOP_BE,TP1",SMALL_WIN
ADP,2009-02-03,2009-02-05,2,24,$-16.32,-0.44R,-1.74%,"STOP_BE,TP1",SMALL_LOSS
ADP,2009-09-24,2009-09-28,4,52,$-7.02,-0.19R,-0.34%,"STOP_BE,TP1",SMALL_LOSS
ADP,2011-12-16,2011-12-30,14,28,$56.26,+1.53R,+3.88%,"TP1,TP2",WIN
ADSK,2006-02-02,2006-02-06,4,34,$-55.76,-0.76R,-4.42%,"STOP_BE,TP1",BIG_LOSS
ADSK,2007-01-19,2007-02-07,19,43,$58.65,+0.79R,+3.23%,"STOP_BE,TP1",SMALL_WIN
ADSK,2009-09-21,2009-09-23,2,50,$-13.25,-0.36R,-1.10%,"STOP_BE,TP1",SMALL_LOSS
ADSK,2010-04-06,2010-04-08,2,181,$-23.40,-0.21R,-0.42%,"STOP_BE,TP1",SMALL_LOSS
ADSK,2010-04-08,2010-04-12,4,175,$3.48,+0.03R,+0.06%,"STOP_BE,TP1",SMALL_WIN
ADSK,2010-05-04,2010-05-05,1,40,$-61.60,-1.64R,-4.63%,STOP,BIG_LOSS
ADSK,2011-01-05,2011-01-10,5,163,$-167.42,-1.00R,-2.49%,STOP,BIG_LOSS
ADTN,2006-10-11,2006-10-13,2,77,$11.02,+0.15R,+0.60%,"STOP_BE,TP1",SMALL_WIN
ADTN,2006-12-22,2007-01-19,28,83,$4.51,+0.06R,+0.25%,"STOP_BE,TP1",SMALL_WIN
ADTN,2007-10-16,2007-10-17,1,45,$-36.84,-1.00R,-3.41%,STOP,BIG_LOSS
ADTN,2008-06-24,2008-06-30,6,49,$-56.35,-1.52R,-4.60%,STOP,BIG_LOSS
ADTN,2009-10-13,2009-10-14,1,51,$-37.19,-1.00R,-2.89%,STOP,BIG_LOSS
ADTN,2009-10-14,2009-10-16,2,46,$-36.73,-1.00R,-3.11%,STOP,BIG_LOSS
ADTN,2009-10-16,2009-10-22,6,47,$-36.96,-1.00R,-3.07%,STOP,BIG_LOSS
ADTN,2010-01-21,2010-01-22,1,57,$-48.45,-1.31R,-3.68%,STOP,BIG_LOSS
ADTN,2010-04-12,2010-04-13,1,199,$-115.42,-1.03R,-2.08%,STOP,BIG_LOSS
ADTN,2010-04-13,2010-04-22,9,190,$176.09,+1.57R,+3.39%,"STOP_BE,TP1",WIN
ADTN,2010-05-25,2010-06-04,10,31,$21.90,+0.60R,+2.62%,"STOP_BE,TP1",SMALL_WIN
ADTN,2010-07-13,2010-08-11,29,46,$85.75,+2.30R,+6.46%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ADTN,2010-08-27,2010-08-31,4,34,$-36.57,-1.00R,-3.40%,STOP,BIG_LOSS
AEC,2008-03-17,2008-04-09,23,67,$73.96,+1.98R,+10.43%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
AEE,2007-07-18,2007-07-23,5,65,$-13.21,-0.24R,-0.39%,"STOP_BE,TP1",SMALL_LOSS
AEE,2007-11-30,2007-12-03,3,46,$-37.26,-1.00R,-1.50%,STOP,BIG_LOSS
AEIS,2007-11-05,2007-11-07,2,39,$-29.11,-0.79R,-4.48%,"STOP_BE,TP1",BIG_LOSS
AEIS,2010-06-04,2010-06-07,3,50,$-51.00,-1.36R,-7.97%,STOP,BIG_LOSS
AEP,2006-05-02,2006-05-04,2,174,$-40.02,-0.27R,-0.69%,"STOP_BE,TP1",SMALL_LOSS
AEP,2006-07-19,2007-01-12,177,292,$801.97,+7.15R,+7.77%,"PHASE3_SMA50_BREAK,TP1,TP2",BIG_WIN
AEP,2007-01-29,2007-02-27,29,165,$303.94,+2.03R,+4.25%,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",WIN
AEP,2007-10-11,2007-10-17,6,129,$-114.81,-1.02R,-1.86%,STOP,BIG_LOSS
AEP,2007-12-12,2007-12-17,5,38,$-41.42,-1.11R,-2.29%,STOP,BIG_LOSS
AEP,2008-04-16,2008-04-22,6,39,$-37.33,-1.00R,-2.14%,STOP,BIG_LOSS
AEP,2008-04-23,2008-05-07,14,41,$-39.77,-1.08R,-2.17%,STOP,BIG_LOSS
AEP,2008-09-08,2008-09-10,2,48,$-13.92,-0.38R,-0.75%,"STOP_BE,TP1",SMALL_LOSS
AEP,2009-06-19,2009-06-23,4,53,$6.64,+0.18R,+0.44%,"STOP_BE,TP1",SMALL_WIN
AEP,2009-12-04,2009-12-31,27,56,$59.51,+1.60R,+3.14%,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",WIN
AEP,2010-04-30,2010-05-04,4,78,$-16.77,-0.45R,-0.63%,"STOP_BE,TP1",SMALL_LOSS
AEP,2010-09-10,2010-09-15,5,62,$-37.33,-1.00R,-1.64%,STOP,BIG_LOSS
AEP,2010-10-19,2010-11-10,22,80,$27.64,+0.75R,+0.95%,"STOP_BE,TP1",SMALL_WIN
AES,2007-11-07,2007-11-12,5,53,$-37.10,-1.01R,-3.20%,STOP,BIG_LOSS
AES,2008-04-11,2008-04-15,4,93,$-3.22,-0.09R,-0.20%,"STOP_BE,TP1",SMALL_LOSS
AES,2011-01-03,2011-01-05,2,226,$6.78,+0.12R,+0.24%,"STOP_BE,TP1",SMALL_WIN
AFL,2007-07-23,2007-07-30,7,267,$204.73,+1.82R,+2.93%,"STOP_BE,TP1",WIN
AFL,2008-09-15,2008-09-26,11,31,$91.63,+2.49R,+10.49%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AFL,2010-02-03,2010-02-04,1,53,$-69.96,-1.90R,-5.18%,STOP,BIG_LOSS
AGYS,2007-02-07,2007-06-22,135,84,$203.93,+2.74R,+12.14%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AIG,2009-12-22,2009-12-23,1,38,$-62.32,-1.12R,-5.28%,STOP,BIG_LOSS
AIG,2010-10-01,2010-11-09,39,29,$60.81,+1.66R,+5.40%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AIZ,2006-03-27,2006-05-19,53,118,$111.64,+0.75R,+1.96%,"STOP_BE,TP1",SMALL_WIN
AIZ,2007-10-26,2007-11-30,35,73,$316.10,+2.84R,+7.43%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
AIZ,2008-01-23,2008-01-25,2,14,$-35.36,-1.00R,-3.81%,STOP,BIG_LOSS
AIZ,2009-06-10,2009-06-12,2,40,$-5.60,-0.15R,-0.56%,"STOP_BE,TP1",SMALL_LOSS
AIZ,2010-01-15,2010-01-20,5,199,$6.70,+0.06R,+0.11%,"STOP_BE,TP1",SMALL_WIN
AIZ,2010-02-04,2010-02-05,1,40,$-37.43,-1.00R,-2.95%,STOP,BIG_LOSS
AIZ,2010-05-05,2010-05-06,1,37,$-43.66,-1.18R,-3.24%,STOP,BIG_LOSS
AIZ,2010-05-06,2010-05-07,1,36,$-36.87,-1.00R,-2.90%,STOP,BIG_LOSS
AIZ,2011-02-23,2011-02-24,1,46,$-37.10,-1.00R,-2.00%,STOP,BIG_LOSS
AIZ,2011-07-29,2011-08-01,3,49,$-37.03,-1.00R,-2.12%,STOP,BIG_LOSS
AJG,2007-08-03,2007-08-28,25,47,$85.95,+2.30R,+6.45%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
AJG,2008-01-23,2008-01-25,2,36,$-30.06,-0.82R,-3.27%,"STOP_BE,TP1",BIG_LOSS
AJG,2008-06-11,2008-06-18,7,77,$10.64,+0.29R,+0.54%,"STOP_BE,TP1",SMALL_WIN
AJG,2008-09-09,2008-09-15,6,64,$11.52,+0.31R,+0.68%,"STOP_BE,TP1",SMALL_WIN
AJG,2008-10-10,2008-10-13,3,26,$-61.88,-1.66R,-8.59%,STOP,BIG_LOSS
AJG,2009-04-09,2009-04-14,5,57,$-16.16,-0.43R,-1.57%,"STOP_BE,TP1",SMALL_LOSS
AJG,2009-09-23,2009-09-30,7,77,$3.27,+0.09R,+0.17%,"STOP_BE,TP1",SMALL_WIN
AJG,2010-02-04,2010-02-05,1,78,$-37.44,-1.00R,-2.04%,STOP,BIG_LOSS
AJG,2010-02-05,2010-02-09,4,73,$-20.76,-0.56R,-1.23%,"STOP_BE,TP1",BIG_LOSS
AJG,2010-03-22,2010-03-31,9,70,$-29.40,-1.05R,-1.68%,STOP,BIG_LOSS
AJG,2010-05-05,2010-05-06,1,70,$-90.30,-2.43R,-4.99%,STOP,BIG_LOSS
AJG,2010-12-15,2010-12-29,14,155,$-56.13,-1.00R,-1.23%,STOP,BIG_LOSS
AJG,2011-07-29,2011-08-04,6,67,$-56.95,-1.53R,-3.02%,STOP,BIG_LOSS
AKAM,2006-11-09,2006-12-29,50,42,$233.64,+1.59R,+11.58%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
AKAM,2009-12-18,2009-12-22,4,46,$-13.34,-0.36R,-1.14%,"STOP_BE,TP1",SMALL_LOSS
AKAM,2010-05-07,2010-05-20,13,22,$81.12,+2.22R,+10.33%,"PHASE3_EMA10_BREAK_DEF,TP1,TP2",WIN
AKAM,2010-11-09,2010-11-11,2,15,$-27.75,-1.00R,-3.59%,STOP,BIG_LOSS
ALB,2006-12-01,2006-12-19,18,80,$58.29,+0.78R,+2.05%,"STOP_BE,TP1",SMALL_WIN
ALB,2007-01-25,2007-02-27,33,126,$295.69,+1.98R,+6.06%,"PHASE3_SMA20_BREAK_DEF,TP1,TP2",WIN
ALB,2007-12-03,2007-12-05,2,23,$-37.33,-1.00R,-3.62%,STOP,BIG_LOSS
ALB,2008-05-09,2008-06-10,32,50,$123.54,+2.23R,+6.20%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ALB,2009-10-26,2009-10-27,1,39,$-36.99,-1.00R,-2.80%,STOP,BIG_LOSS
ALB,2009-12-09,2009-12-18,9,39,$28.21,+0.75R,+2.05%,"STOP_BE,TP1",SMALL_WIN
ALB,2010-04-22,2010-05-05,13,68,$21.48,+0.38R,+0.72%,"STOP_BE,TP1",SMALL_WIN
ALB,2011-10-07,2011-11-16,40,15,$90.12,+2.51R,+13.84%,"PHASE3_SMA20_BREAK,TP1,TP2",WIN
ALGN,2007-09-24,2007-10-25,31,145,$109.27,+0.98R,+2.94%,"RUNNER_STOP,TP1,TP2",SMALL_WIN
ALGN,2008-06-02,2008-06-04,2,77,$0.00,+0.00R,+0.00%,"STOP_BE,TP1",SMALL_WIN
ALGN,2011-06-02,2011-06-08,6,50,$-39.00,-1.06R,-3.28%,STOP,BIG_LOSS
ALGT,2009-03-09,2009-04-24,46,19,$143.46,+3.83R,+21.58%,"PHASE3_SMA20_BREAK,TP1,TP2",BIG_WIN
ALGT,2010-01-20,2010-02-04,15,53,$41.53,+0.75R,+1.57%,"STOP_BE,TP1",SMALL_WIN
ALGT,2010-11-19,2010-12-15,26,47,$39.33,+0.71R,+1.72%,"STOP_BE,TP1",SMALL_WIN
ALGT,2011-03-09,2011-04-14,36,24,$-55.68,-1.51R,-5.42%,STOP,BIG_LOSS
ALGT,2011-08-09,2011-08-10,1,21,$-38.85,-1.08R,-4.08%,STOP,BIG_LOSS
ALKS,2010-02-05,2010-02-23,18,71,$6.65,+0.18R,+1.43%,"STOP_BE,TP1",SMALL_WIN
ALL,2009-09-17,2009-09-21,4,45,$5.90,+0.16R,+0.43%,"STOP_BE,TP1",SMALL_WIN
ALL,2009-10-01,2009-10-26,25,41,$5.94,+0.16R,+0.48%,"STOP_BE,TP1",SMALL_WIN
ALL,2010-06-23,2010-06-24,1,49,$-43.12,-1.16R,-2.89%,STOP,BIG_LOSS
ALL,2011-12-12,2011-12-14,2,56,$-11.48,-0.31R,-0.78%,"STOP_BE,TP1",SMALL_LOSS
ALLT,2011-12-14,2011-12-23,9,38,$-38.76,-1.05R,-6.08%,STOP,BIG_LOSS
ALNY,2007-01-09,2007-01-19,10,35,$-37.43,-1.00R,-4.81%,STOP,BIG_LOSS
ALNY,2008-07-11,2008-07-14,3,27,$-36.64,-1.00R,-4.69%,STOP,BIG_LOSS
AMAT,2008-01-17,2008-01-22,5,68,$16.66,+0.45R,+1.40%,"STOP_BE,TP1",SMALL_WIN
AMAT,2008-01-22,2008-01-23,1,56,$-37.12,-1.00R,-3.68%,STOP,BIG_LOSS
AMAT,2008-03-04,2008-03-26,22,45,$22.32,+0.60R,+2.44%,"STOP_BE,TP1",SMALL_WIN
AMAT,2008-06-13,2008-06-26,13,68,$-46.92,-1.25R,-3.43%,STOP,BIG_LOSS
AMAT,2009-02-26,2009-02-27,1,59,$-37.17,-1.00R,-6.40%,STOP,BIG_LOSS
AMAT,2009-12-16,2009-12-18,2,104,$-12.48,-0.33R,-0.88%,"STOP_BE,TP1",SMALL_LOSS
AMD,2006-05-19,2006-05-22,3,29,$-51.33,-1.40R,-5.06%,STOP,BIG_LOSS
AMD,2006-05-22,2006-05-23,1,27,$-37.53,-1.01R,-4.19%,STOP,BIG_LOSS
AMD,2006-09-07,2006-10-02,25,94,$56.87,+0.38R,+2.46%,"STOP_BE,TP1",SMALL_WIN
AMD,2007-02-26,2007-02-27,1,123,$-74.99,-1.00R,-3.89%,STOP,BIG_LOSS
AMD,2007-07-18,2007-07-20,2,277,$44.16,+0.39R,+1.03%,"STOP_BE,TP1",SMALL_WIN
AMD,2007-07-20,2007-07-24,4,255,$-54.90,-0.49R,-1.39%,"STOP_BE,TP1",SMALL_LOSS
AMD,2008-01-18,2008-01-23,5,66,$-7.92,-0.21R,-1.70%,"STOP_BE,TP1",SMALL_LOSS
AMD,2009-07-15,2009-07-22,7,178,$-22.25,-0.60R,-3.24%,"STOP_BE,TP1",BIG_LOSS
AMD,2010-04-14,2010-04-16,2,370,$35.15,+0.31R,+0.96%,"STOP_BE,TP1",SMALL_WIN
AMD,2010-04-16,2010-04-19,3,83,$-27.80,-1.00R,-3.41%,STOP,BIG_LOSS
AMD,2011-09-19,2011-09-21,2,122,$-37.82,-1.01R,-4.48%,"STOP_BE,TP1",BIG_LOSS
AME,2007-11-12,2007-11-16,4,68,$-38.76,-1.05R,-2.78%,STOP,BIG_LOSS
AME,2008-11-18,2008-11-19,1,43,$-45.58,-1.24R,-7.51%,STOP,BIG_LOSS
AME,2009-10-27,2009-10-29,2,99,$-3.92,-0.10R,-0.25%,"STOP_BE,TP1",SMALL_LOSS
AME,2011-09-08,2011-09-09,1,38,$-38.00,-1.04R,-3.96%,STOP,BIG_LOSS
AMGN,2008-01-25,2008-01-29,4,25,$-5.18,-0.14R,-0.43%,"STOP_BE,TP1",SMALL_LOSS
