symbol,entry_date,days_held,signal_type,context_rvol,context_adr,context_trend,dist_sma20_pct,consolidation_days,is_vcp_pattern,time_since_earnings,sector_strength,VolTrig,shares,position_value,monetary_risk,returns_pct,r_multiple,Result
KLAC,2019-08-06,57,BREAKOUT,2.0015684490313927,3.4603143871701505,Uptrend,2.503246712266161,17,false,-1,0,☔ Danger,2,249.87741088867188,12.493870544433594,14.947515157273775,2.989503031454755,37.3504638671875
WDC,2018-09-21,3,BREAKOUT,2.021481806029537,3.334192997906728,Downtrend,1.5647846774329195,19,false,-1,0,✅ Safe,12,509.30873107910156,25.46543655395508,-1.3175242645190521,-0.2635048529038104,-6.71026611328125
WDC,2018-09-21,4,BREAKOUT,2.021481806029537,3.334192997906728,Downtrend,1.5647846774329195,19,false,-1,0,✅ Safe,12,509.30873107910156,25.46543655395508,-1.712768960757662,-0.34255379215153237,-8.723281860351562
ADBE,2018-10-16,2,BREAKOUT,2.224107049053045,3.306273103359927,Uptrend,0.0616148517345181,18,false,-1,0.0385166219048969,☔ Danger,2,521.3400268554688,26.067001342773438,-3.959031262750058,-0.7918062525500095,-20.6400146484375
TTWO,2018-08-03,21,BREAKOUT,3.774727579025184,3.295175479068763,Uptrend,0.5548839883390472,18,false,-1,0,✅ Safe,2,246.82000732421875,12.341000366210938,7.139384760316017,1.4278769520632033,17.62142998831615
TTWO,2018-08-03,68,BREAKOUT,3.774727579025184,3.295175479068763,Uptrend,0.5548839883390472,18,false,-1,0,✅ Safe,2,246.82000732421875,12.341000366210938,-0.9399591829568444,-0.18799183659136887,-2.32000732421875
TTWO,2018-02-01,4,BREAKOUT,2.765045832276505,3.2728210781322646,Uptrend,5.836099399413626,18,false,-1,0,✅ Safe,12,1495.6799926757812,74.78399963378907,-5.864888955704594,-1.1729777911409165,-87.719970703125
LRCX,2018-01-25,7,BREAKOUT,2.5025126995234563,3.264766729116154,Uptrend,1.3229125285860546,18,false,-1,0,✅ Safe,79,1404.7142295837402,70.23571147918702,-5.296651891066211,-1.059330378213242,-74.40282280532332
WDC,2017-06-23,4,BREAKOUT,2.0247529239282547,3.239822063791213,Uptrend,4.220640754657952,18,false,-1,0,✅ Safe,21,1330.6361961364746,66.53180980682373,-3.164312933007311,-0.6328625866014623,-42.105493245623
BKR,2019-11-18,1,BREAKOUT,2.4816190780262666,3.2353814694273635,Weak,0.5357892932805128,18,false,-1,0,✅ Safe,39,729.5089817047119,36.475449085235596,-0.7216889577286226,-0.14433779154572832,-5.2647857666015625
BKR,2019-11-18,2,BREAKOUT,2.4816190780262666,3.2353814694273635,Weak,0.5357892932805128,18,false,-1,0,✅ Safe,40,748.2143402099609,37.41071701049805,0,0,0
ILMN,2018-04-26,28,BREAKOUT,2.605039273863319,3.222897879903232,Uptrend,1.493776628428997,16,false,-1,0,✅ Safe,1,236.0214080810547,11.801070404052735,12.095136976447614,2.4190273952895227,28.547112601143965
ILMN,2018-04-26,33,BREAKOUT,2.605039273863319,3.222897879903232,Uptrend,1.493776628428997,16,false,-1,0,✅ Safe,2,472.0428161621094,23.60214080810547,9.763840583650047,1.9527681167300097,46.08950805664063
ILMN,2018-04-26,13,BREAKOUT,2.605039273863319,3.222897879903232,Uptrend,1.493776628428997,16,false,-1,0,✅ Safe,2,472.0428161621094,23.60214080810547,8.622773941604562,1.7245547883209122,40.7031849452427
CPRT,2018-02-20,20,BREAKOUT,2.911858189316351,3.214463373201841,Uptrend,6.697352162252273,19,false,-1,0,☔ Danger,40,468.3000183105469,23.415000915527347,7.805588763432084,1.5611177526864166,36.55357360839844
CPRT,2018-02-20,30,BREAKOUT,2.911858189316351,3.214463373201841,Uptrend,6.697352162252273,19,false,-1,0,☔ Danger,16,187.32000732421875,9.366000366210939,6.491558791300633,1.2983117582601265,12.159988403320312
CPRT,2018-02-20,30,BREAKOUT,2.911858189316351,3.214463373201841,Uptrend,6.697352162252273,19,false,-1,0,☔ Danger,24,280.9800109863281,14.049000549316407,7.266404524209127,1.4532809048418254,20.41714423043385
MU,2017-06-09,3,BREAKOUT,2.07470983827654,3.1993158539327675,Uptrend,2.791484258857166,18,false,-1,0,✅ Safe,43,1283.8218173980713,64.19109086990356,-3.2586368109211783,-0.6517273621842333,-41.83509032837067
EA,2019-02-05,1,BREAKOUT,2.5239968395567343,3.1869595826728574,Weak,2.545354807478509,20,false,-1,0,✅ Safe,18,1619.2194213867188,80.96097106933594,-13.305234014734882,-2.6610468029469763,-215.44093322753903
DLTR,2019-08-29,6,BREAKOUT,2.39655563286142,3.143142713812461,Downtrend,3.2654363746453376,18,false,-1,0,✅ Safe,6,586.019989013672,29.300999450683598,7.636871300283676,1.5273742600567382,44.75359235491075
DLTR,2019-08-29,21,BREAKOUT,2.39655563286142,3.143142713812461,Downtrend,3.2654363746453376,18,false,-1,0,✅ Safe,3,293.009994506836,14.650499725341799,13.288190655837766,2.6576381311675594,38.93572671072822
DLTR,2019-08-29,39,BREAKOUT,2.39655563286142,3.143142713812461,Downtrend,3.2654363746453376,18,false,-1,0,✅ Safe,4,390.6799926757813,19.533999633789065,14.835677039841718,2.9671354079683465,57.96002197265625
MNST,2018-11-08,11,BREAKOUT,3.736999250585852,3.135258066899902,Downtrend,2.082566274246739,19,false,-1,0,✅ Safe,12,324.8399963378906,16.241999816894534,5.070189001150021,1.014037800230004,16.47000176565986
MNST,2018-11-08,35,BREAKOUT,3.736999250585852,3.135258066899902,Downtrend,2.082566274246739,19,false,-1,0,✅ Safe,12,324.8399963378906,16.241999816894534,-1.3114131741353658,-0.2622826348270731,-4.2599945068359375
NVDA,2017-02-10,3,BREAKOUT,2.851074455001984,3.062407542517488,Uptrend,2.9978473762247946,19,false,-1,0.6629343303171138,✅ Safe,482,1348.6976428031921,67.43488214015962,-4.6118764686931435,-0.9223752937386286,-62.20026922225952
ON,2018-05-31,19,BREAKOUT,3.828312468433188,3.0053331561801797,Uptrend,5.025594402551348,18,false,-1,0,✅ Safe,28,703.6399765014648,35.18199882507325,-2.953215179346909,-0.5906430358693788,-20.780002593994183
