ticker,status,eligible,reason,price,breakout_level,live_rvol,entry_gate_status,entry_gate_reason
CRM,ok,False,not_promoted,,191.15,1.05,,
RKLB,ok,False,rvol<1.00,,138.38,0.87,,
SWKS,ok,False,rvol<1.00,,72.81,0.81,,
PENG,ok,False,rvol<1.00,,53.27,0.7,,
AKAM,ok,False,not_promoted,,165.45,2.5,,
CVX,ok,False,not_promoted,,198.87,1.45,,
EQH,ok,False,not_promoted,,44.78,1.15,,
RYAAY,ok,False,not_promoted,,60.75,1.3,,
UDR,ok,False,rvol<1.00,,37.8,0.93,,
WDAY,ok,False,not_promoted,,135.93,1.27,,
GMAB,ok,False,not_promoted,,28.28,2.38,,
APLD,ok,False,not_promoted,,47.79,1.13,,
CPRX,ok,False,rvol<1.00,,32.56,0.67,,
INOD,ok,False,rvol<1.00,,114.77,0.63,,
LUV,ok,False,not_promoted,,42.39,1.13,,
UGI,ok,False,rvol<1.00,,37.87,0.86,,
FTNT,ok,False,rvol<1.00,,128.2,0.95,,
ESTC,ok,False,not_promoted,,56.3,1.17,,
TALO,ok,False,price<16.6100,15.550000190734863,16.61,1.81,,
NOK,ok,False,price<15.1900; rvol<1.00,14.129300117492676,15.19,0.63,,
BIDU,ok,False,rvol<1.00,,152.37,0.79,,
MMM,ok,False,rvol<1.00,,152.69,0.92,,
QCOM,ok,False,price<247.9000; rvol<1.00,212.1750030517578,247.9,0.61,,
GEN,ok,False,not_promoted,,24.83,1.24,,
ALAB,ok,False,not_promoted,,255.96,1.68,,
RBRK,ok,False,not_promoted,,67.31,1.31,,
DXCM,ok,True,promoted price>=67.7500 rvol>=1.00,71.45999908447266,67.75,1.68,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
LNT,ok,False,not_promoted,,75.76,1.05,,
ONON,ok,False,not_promoted,,38.3,1.01,,
KNX,ok,False,not_promoted,,69.99,1.17,,
CSX,ok,False,price<46.5500,45.92499923706055,46.55,1.04,,
PAGP,ok,False,not_promoted,,25.36,1.5,,
GE,ok,False,price<310.0000; rvol<1.00,300.6650085449219,310.0,0.99,,
D,ok,False,price<68.9700,68.21499633789062,68.97,1.63,,
PM,ok,False,not_promoted,,193.05,1.25,,
ZBH,ok,False,rvol<1.00,,94.7,0.87,,
IFF,ok,False,not_promoted,,83.89,1.4,,
RSG,ok,False,not_promoted,,218.91,1.1,,
VIK,ok,False,not_promoted,,92.0,2.17,,
IBKR,ok,False,price<88.4400,83.8499984741211,88.44,1.43,,
FUN,ok,False,rvol<1.00,,23.81,0.88,,
ERIC,ok,True,promoted price>=12.8700 rvol>=1.00,13.329999923706055,12.87,1.16,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
ACGL,ok,False,rvol<1.00,,98.62,0.96,,
TAP,ok,False,rvol<1.00,,44.04,0.93,,
CCL,ok,False,price<27.8800,26.344999313354492,27.88,1.61,,
NTNX,ok,False,price<49.3200,45.25,49.32,1.65,,
DAL,ok,True,promoted price>=74.7700 rvol>=1.00,75.27999877929688,74.77,1.64,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
TXN,ok,False,rvol<1.00,,310.29,0.86,,
PHG,ok,False,price<27.4100,27.190099716186523,27.41,1.1,,
CGNX,ok,False,price<71.9000; rvol<1.00,63.625,71.9,0.8,,
FHB,ok,False,price<27.6100; rvol<1.00,27.21500015258789,27.61,0.96,,
REYN,ok,False,rvol<1.00,,22.26,0.8,,
FIBK,ok,False,rvol<1.00,,36.31,0.81,,
CVS,ok,False,price<98.4300; rvol<1.00,93.19000244140625,98.43,0.86,,
WELL,ok,False,price<221.6800,214.97500610351562,221.68,1.58,,
CRWD,ok,True,promoted price>=634.2400 rvol>=1.00,647.7750244140625,634.24,1.44,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
GEHC,ok,False,not_promoted,,72.86,1.26,,
MARA,ok,False,price<13.8000,13.515000343322754,13.8,1.16,,
HMY,ok,False,price<18.6000,17.43000030517578,18.6,1.57,,
PK,ok,False,price<11.8400; rvol<1.00,11.475000381469727,11.84,0.85,,
CME,ok,False,price<308.0100,289.7699890136719,308.01,1.25,,
DBRG,ok,False,not_promoted,,15.7,1.58,,
EGO,ok,False,rvol<1.00,,35.88,0.83,,
PBA,ok,False,not_promoted,,49.7,1.77,,
PRM,ok,False,price<34.8900; rvol<1.00,31.985000610351562,34.89,0.96,,
GTLB,ok,False,price<26.4600,25.760000228881836,26.46,1.12,,
LYV,ok,False,not_promoted,,173.12,1.71,,
TTMI,ok,False,price<180.0000,173.63999938964844,180.0,1.05,,
VRNS,ok,False,rvol<1.00,30.65999984741211,29.89,0.82,,
TJX,ok,False,price<160.0100,157.25,160.01,1.66,,
NBIX,ok,False,rvol<1.00,,162.39,0.9,,
LSCC,ok,False,not_promoted,,130.0,1.37,,
DB,ok,True,promoted price>=32.7400 rvol>=1.00,33.0625,32.74,1.73,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
ASTS,ok,True,promoted price>=90.9500 rvol>=1.00,92.6395034790039,90.95,1.01,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
OUT,ok,False,price<34.9600,33.099998474121094,34.96,1.55,,
FSK,ok,False,price<11.7300,11.024999618530273,11.73,1.13,,
INTC,ok,False,price<132.7500; rvol<1.00,118.46990203857422,132.75,0.99,,
SYK,ok,False,price<335.4200,316.54998779296875,335.42,1.04,,
TXRH,ok,False,not_promoted,,185.1,1.19,,
TKO,ok,False,price<196.7500,192.1300048828125,196.75,1.02,,
WMB,ok,False,price<79.5900; rvol<1.00,77.56500244140625,79.59,0.98,,
EXE,ok,False,price<102.3500,97.6500015258789,102.35,1.35,,
AUPH,ok,False,not_promoted,,16.88,1.06,,
VOYA,ok,False,price<84.0000,82.36499786376953,84.0,1.07,,
PANW,ok,True,promoted price>=248.8500 rvol>=1.00,251.22500610351562,248.85,1.1,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
PGR,ok,False,price<207.9500,199.9199981689453,207.95,1.17,,
CHRW,ok,False,price<190.1500,178.375,190.15,1.45,,
MU,ok,False,price<818.6700; rvol<1.00,756.030029296875,818.67,0.96,,
FROG,ok,False,price<72.0600,71.79499816894531,72.06,1.08,,
WES,ok,False,not_promoted,,47.45,1.36,,
TXNM,ok,False,price<59.5000; rvol<1.00,59.43000030517578,59.5,0.94,,
V,ok,False,price<341.2700,331.8500061035156,341.27,1.19,,
OVV,ok,False,price<63.4600,58.48500061035156,63.46,1.04,,
HON,ok,False,rvol<1.00,,224.76,0.97,,
FSLR,ok,False,rvol<1.00,248.57000732421875,240.84,0.92,,
MRVL,ok,False,price<192.1500,189.8699951171875,192.15,1.18,,
MLYS,ok,False,price<30.8600,29.170000076293945,30.86,3.69,,
GLW,ok,False,price<211.7900; rvol<1.00,191.1898956298828,211.79,0.9,,
TXG,ok,False,not_promoted,,23.53,1.08,,
SGHC,ok,False,price<14.0700; rvol<1.00,13.619999885559082,14.07,0.81,,
NVDA,ok,False,price<236.5400,219.97999572753906,236.54,1.13,,
HMC,ok,False,price<26.6600; rvol<1.00,26.354999542236328,26.66,0.98,,
AZN,ok,False,price<196.6500; rvol<1.00,189.57000732421875,196.65,0.87,,
BBY,ok,False,price<64.5600,61.209999084472656,64.56,1.24,,
VSH,ok,True,promoted price>=40.0700 rvol>=1.00,42.165000915527344,40.07,1.17,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
AMAT,ok,False,price<448.4500; rvol<1.00,427.19000244140625,448.45,0.89,,
VIST,ok,False,price<79.4800,75.27999877929688,79.48,1.26,,
NNN,ok,False,not_promoted,,45.0,1.19,,
BJ,ok,False,not_promoted,,99.16,1.24,,
GS,ok,True,promoted price>=975.6600 rvol>=1.00,987.0549926757812,975.66,1.69,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
EXPD,ok,False,not_promoted,,157.83,1.18,,
VTRS,ok,False,price<17.5300; rvol<1.00,16.395000457763672,17.53,0.9,,
WMT,ok,False,price<135.1600,122.13500213623047,135.16,1.71,,
COO,ok,False,price<68.0200,62.880001068115234,68.02,1.54,,
TWLO,ok,False,price<203.7100; rvol<1.00,183.22999572753906,203.71,0.97,,
CALY,ok,False,price<18.0000; rvol<1.00,15.789999961853027,18.0,0.86,,
RXO,ok,False,not_promoted,,23.37,2.31,,
LION,ok,False,price<13.0100,12.96500015258789,13.01,1.1,,
GPN,warn,False,missing_avg_volume_20d,,,,,
JHX,ok,False,price<22.4400,20.825000762939453,22.44,2.53,,
TTWO,ok,False,price<246.2500,240.88999938964844,246.25,1.07,,
TIGO,ok,True,promoted price>=85.2600 rvol>=1.00,85.31999969482422,85.26,1.47,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
OKE,ok,False,price<95.6500,92.04499816894531,95.65,1.12,,
IRDM,ok,False,rvol<1.00,45.470001220703125,44.92,0.98,,
ASML,ok,False,price<1603.4900,1588.8599853515625,1603.49,1.04,,
LUNR,ok,False,price<38.5500,33.83000183105469,38.55,1.05,,
SMCI,ok,False,price<36.3700; rvol<1.00,32.86000061035156,36.37,0.97,,
OSCR,ok,False,price<25.5800; rvol<1.00,22.229999542236328,25.58,0.83,,
NKE,ok,False,price<46.9500,44.459999084472656,46.95,1.37,,
ARM,ok,True,promoted price>=239.5000 rvol>=1.00,288.7149963378906,239.5,1.49,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
SO,ok,False,price<96.6000; rvol<1.00,93.88500213623047,96.6,0.94,,
BKR,ok,False,price<70.1800,66.3550033569336,70.18,1.02,,
UMC,ok,False,rvol<1.00,18.315000534057617,18.1,0.84,,
CCI,ok,False,price<92.8100; rvol<1.00,92.37999725341797,92.81,0.96,,
FWONK,ok,False,price<96.0200,90.3489990234375,96.02,1.11,,
SM,ok,False,price<34.4400,33.04999923706055,34.44,2.26,,
HESM,ok,False,rvol<1.00,,40.8,0.89,,
DDOG,ok,False,rvol<1.00,218.30679321289062,215.68,0.77,,
RVTY,ok,False,rvol<1.00,,103.0,0.93,,
IREN,ok,False,price<65.6100; rvol<1.00,57.32500076293945,65.61,0.83,,
ET,ok,False,price<20.5000; rvol<1.00,20.049999237060547,20.5,0.93,,
GOOGL,ok,False,price<408.6100,390.0199890136719,408.61,1.07,,
WERN,ok,False,rvol<1.00,,38.68,0.98,,
CTSH,ok,False,price<60.0300; rvol<1.00,51.689998626708984,60.03,0.93,,
SAP,ok,False,price<185.3600; rvol<1.00,176.34500122070312,185.36,0.78,,
UNH,ok,False,price<404.1500,383.8100891113281,404.15,1.07,,
MAR,ok,False,price<377.6100,370.54998779296875,377.61,1.26,,
ENB,ok,True,promoted price>=57.0100 rvol>=1.00,57.689998626708984,57.01,1.44,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
MXL,ok,False,price<104.2700; rvol<1.00,99.94000244140625,104.27,0.48,,
XMTR,ok,False,price<91.2400,88.04499816894531,91.24,1.01,,
AON,ok,False,price<334.0400; rvol<1.00,324.2699890136719,334.04,0.98,,
WTTR,ok,False,price<20.1800,19.389999389648438,20.18,1.17,,
BRK-B,ok,False,price<489.4200; rvol<1.00,479.125,489.42,0.94,,
ON,ok,False,price<119.1000; rvol<1.00,108.13500213623047,119.1,0.71,,
MRK,ok,True,promoted price>=115.1000 rvol>=1.00,115.58000183105469,115.1,1.07,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
HST,ok,True,promoted price>=22.3900 rvol>=1.00,22.395000457763672,22.39,1.02,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
CRGY,ok,False,price<14.1600,13.109999656677246,14.16,1.15,,
KR,ok,False,price<71.7100,67.48999786376953,71.71,1.16,,
IRT,ok,False,price<16.7100,16.684999465942383,16.71,1.49,,
LQDA,ok,False,not_promoted,,60.55,1.09,,
BEKE,ok,False,price<19.7600,16.885000228881836,19.76,1.56,,
VSAT,ok,False,price<75.1400,72.16999816894531,75.14,1.85,,
KGS,ok,False,price<76.4400,72.20999908447266,76.44,1.04,,
CLSK,ok,True,promoted price>=15.0400 rvol>=1.00,15.753600120544434,15.04,1.83,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
ENPH,ok,True,promoted price>=53.8900 rvol>=1.00,62.25,53.89,1.26,BLOCKED,screener_fail:qullamaggie_momentum=FAIL
HRL,ok,False,price<22.0300,21.014999389648438,22.03,1.2,,
NOW,ok,False,price<110.8300; rvol<1.00,99.65950012207031,110.83,0.96,,
HWM,ok,False,price<280.6200; rvol<1.00,261.385009765625,280.62,0.99,,
NVTS,warn,False,missing_avg_volume_20d,,,,,
LLY,ok,False,rvol<1.00,1038.3900146484375,1021.8,0.86,,
IT,ok,False,rvol<1.00,,164.56,0.86,,
EVRG,ok,False,price<84.0900,83.5,84.09,1.5,,
COST,ok,False,price<1096.5000,1051.469970703125,1096.5,1.17,,
