ticker,in_local,in_finviz,mode,sector_etf,best_theme,theme_vs_sector,passed_with_filter,reject_reason,passed_without_filter,blocked_by_theme,blocked_by_sector,target_hold_days
AXP,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
AXTI,True,False,A,,,,False,tier2_fail:rvol:0.92<1.10,False,False,False,20
AXTI,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BA,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
BA,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BABA,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
BABA,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BAC,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
BAC,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BE,True,False,A,XLI,,,False,tier2_fail:rvol:0.70<1.10,False,False,False,20
BE,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BKNG,True,False,A,XLY,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
BKNG,True,False,B,XLY,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BLK,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
BLK,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BSX,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
BSX,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
BX,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
BX,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
C,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
C,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CAR,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CAR,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CAT,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CAT,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CCL,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CCL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CDNS,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CDNS,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CEG,True,False,A,XLU,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CEG,True,False,B,XLU,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CIEN,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CIEN,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CLS,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CLS,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CMCSA,True,False,A,XLC,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CMCSA,True,False,B,XLC,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CME,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CME,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
COF,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
COF,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
COHR1,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
COHR1,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
COIN,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
COIN,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
COP,True,False,A,XLE,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
COP,True,False,B,XLE,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
COST,True,False,A,XLP,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
COST,True,False,B,XLP,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CRCL,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CRCL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CRDO,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CRDO,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CRM,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CRM,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CRWD,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CRWD,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CRWV,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CRWV,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CSCO,True,False,A,XLK,,,False,tier2_fail:dist_sma20:11.29>6.77,False,False,False,20
CSCO,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CVNA,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CVNA,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CVS,True,False,A,XLV,,,False,tier2_fail:dist_sma20:18.24>6.77,False,False,False,20
CVS,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
CVX,True,False,A,XLE,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
CVX,True,False,B,XLE,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DAL,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
DAL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DASH,True,False,A,XLY,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
DASH,True,False,B,XLY,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DE,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
DE,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DELL,True,False,A,,,,False,tier2_fail:rvol:0.79<1.10,False,False,False,20
DELL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DHR,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
DHR,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DIA,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
DIA,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DIS,True,False,A,XLC,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
DIS,True,False,B,XLC,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
DVN,True,False,A,XLE,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
DVN,True,False,B,XLE,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
EBAY,True,False,A,,,,False,tier2_fail:rvol:0.96<1.10,False,False,False,20
EBAY,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ELV,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ELV,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
EQIX,True,False,A,XLRE,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
EQIX,True,False,B,XLRE,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ETN,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ETN,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
F,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
F,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
FCX,True,False,A,XLB,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
FCX,True,False,B,XLB,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
FIX,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
FIX,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
FLEX,True,False,A,,,,False,tier2_fail:dist_sma20:38.75>6.77,False,False,False,20
FLEX,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GE,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
GE,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GEV,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
GEV,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GILD,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
GILD,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GLE1,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
GLE1,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GLW,True,False,A,,,,False,tier2_fail:rvol:1.09<1.10,False,False,False,20
GLW,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GOOG,True,False,A,XLC,,,False,tier2_fail:rvol:0.92<1.10,False,False,False,20
GOOG,True,False,B,XLC,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GOOGL,True,False,A,XLK,,,False,tier2_fail:rvol:0.94<1.10,False,False,False,20
GOOGL,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
GS,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
GS,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
HD,True,False,A,XLY,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
HD,True,False,B,XLY,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
HON,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
HON,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
HOOD,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
HOOD,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
IBIT,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
IBIT,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
IBM,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
IBM,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
INTC,True,False,A,XLK,,,False,tier2_fail:rvol:0.74<1.10,False,False,False,20
INTC,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
IONQ,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
IONQ,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
IREN,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
IREN,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ISRG,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ISRG,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
IWM,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
IWM,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
JNJ,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
JNJ,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
JPM,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
JPM,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
KLAC,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
KLAC,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
KO,True,False,A,XLP,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
KO,True,False,B,XLP,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
LIN,True,False,A,XLB,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
LIN,True,False,B,XLB,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
LITE,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
LITE,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
LLY,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
LLY,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
LMT,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
LMT,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
LNG,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
LNG,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
LRCX,True,False,A,XLK,,,False,tier2_fail:rvol:1.01<1.10,False,False,False,20
LRCX,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MA,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MA,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MCD,True,False,A,XLY,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MCD,True,False,B,XLY,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MCDT,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MCDT,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MCHP,True,False,A,XLK,,,False,tier2_fail:rvol:1.07<1.10,False,False,False,20
MCHP,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MCK,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MCK,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MDT,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MDT,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MELI,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MELI,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
META,True,False,A,XLC,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
META,True,False,B,XLC,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MO,True,False,A,XLP,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MO,True,False,B,XLP,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MRK,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MRK,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MRVL,True,False,A,,,,False,tier2_fail:dist_sma20:11.03>6.77,False,False,False,20
MRVL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MS,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MS,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MSFT,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MSFT,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
MU,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
MU,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NEE,True,False,A,XLU,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NEE,True,False,B,XLU,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NEM,True,False,A,XLB,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NEM,True,False,B,XLB,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NET,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NET,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NFLX,True,False,A,XLC,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NFLX,True,False,B,XLC,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NKE,True,False,A,XLY,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NKE,True,False,B,XLY,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NOC,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NOC,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NOK,True,False,A,,,,False,tier2_fail:dist_sma20:22.74>6.77,False,False,False,20
NOK,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NOW,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NOW,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NVDA,True,False,A,XLK,,,False,tier2_fail:rvol:1.05<1.10,False,False,False,20
NVDA,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NVO,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NVO,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
NXPI,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
NXPI,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ON,True,False,A,XLK,,,False,tier2_fail:dist_sma20:18.31>6.77,False,False,False,20
ON,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
ORCL,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
ORCL,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
OXY,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
OXY,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PDD,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PDD,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PEP,True,False,A,XLP,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PEP,True,False,B,XLP,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PFE,True,False,A,XLV,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PFE,True,False,B,XLV,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PG,True,False,A,XLP,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PG,True,False,B,XLP,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PH,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PH,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PM,True,False,A,XLP,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PM,True,False,B,XLP,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
POET,True,False,A,,,,False,tier2_fail:rvol:0.79<1.10,False,False,False,20
POET,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PWR,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PWR,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
PYPL,True,False,A,XLF,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
PYPL,True,False,B,XLF,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
QCOM,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
QCOM,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
QQQ,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
QQQ,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
RBLX,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
RBLX,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
RCL,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
RCL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
RDDT,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
RDDT,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
RKLB,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
RKLB,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
RTX,True,False,A,XLI,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
RTX,True,False,B,XLI,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
RVMD,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
RVMD,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
SAP,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
SAP,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
SBUX,True,False,A,XLY,,,False,tier2_fail:rs_percentile:None<58.0,False,False,False,20
SBUX,True,False,B,XLY,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
SHEL,True,False,A,,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
SHEL,True,False,B,,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
SHOP,True,False,A,XLK,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
SHOP,True,False,B,XLK,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
SLB,True,False,A,XLE,,,False,screener_fail:qullamaggie_momentum=FAIL,False,False,False,20
SLB,True,False,B,XLE,,,False,screener_fail:minervini_trend=FAIL,False,False,False,20
